City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
1,Kapaa,US,87.8,scattered clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
2,Honiara,SB,87.8,few clouds,-9.43,159.95,Heritage Park Hotel
7,San Andres,CO,84.2,broken clouds,12.58,-81.7,Hotel Arena Blanca
13,Avarua,CK,75.2,overcast clouds,-21.21,-159.78,Paradise Inn
14,Basco,PH,81.64,broken clouds,20.45,121.97,Nathaniel's Lodge
18,Victoria,HK,81.0,moderate rain,22.29,114.16,Mini Hotel Central
19,Anuradhapura,LK,75.96,broken clouds,8.36,80.42,Nilketha Villa Eco Hotel
23,Tual,ID,80.85,overcast clouds,-5.67,132.75,Grand Vilia Hotel
27,Atuona,PF,77.81,scattered clouds,-9.8,-139.03,Villa Enata
34,Poindimie,NC,77.22,clear sky,-20.93,165.33,hotel de la plage
35,Tezpur,IN,75.9,light rain,26.63,92.8,Hotel Kanyapur
37,Vanimo,PG,85.62,overcast clouds,-2.67,141.3,Vahmoneh Lodge Vanimo
45,Hilo,US,87.8,clear sky,19.73,-155.09,Hilo Hawaiian Hotel
47,Dakar,SN,82.4,scattered clouds,14.69,-17.44,Novotel Dakar
49,Guerrero Negro,MX,86.97,few clouds,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
50,Lazaro Cardenas,MX,82.04,few clouds,17.96,-102.2,Collection O Hotel Quinta Antigua
57,Ariquemes,BR,80.01,scattered clouds,-9.91,-63.04,Hotel Sol Nascente - Ariquemes - RO
65,Abapo,BO,80.96,clear sky,-18.83,-63.47,
66,Butaritari,KI,81.32,overcast clouds,3.07,172.79,Isles Sunset Lodge
73,Thinadhoo,MV,82.53,light rain,0.53,72.93,
76,Nanakuli,US,89.6,clear sky,21.39,-158.15,Camp Pālehua
82,Nouadhibou,MR,77.0,clear sky,20.93,-17.03,El Medina
85,Tabou,CI,76.46,broken clouds,4.42,-7.35,hotêl doufoulougou
89,Dingle,PH,79.23,light rain,11.0,122.67,Camp Pasica
93,Naliya,IN,79.09,clear sky,23.27,68.83,Hotel Panchvati
94,Carutapera,BR,78.51,clear sky,-1.2,-46.02,Lidera
101,West Bay,KY,86.0,few clouds,19.37,-81.42,Calypso Cove
103,Sarankhola,BD,78.4,overcast clouds,22.31,89.79,ইসা ষ্টোর
104,Cukai,MY,75.2,few clouds,4.25,103.42,OYO 90038 Dalyla Inn Chalet
108,Dutse,NG,78.64,few clouds,11.76,9.34,Kaci
110,Lorengau,PG,86.16,light rain,-2.02,147.27,Lorengau Harbourside Hotel
113,Kuching,MY,75.2,light rain,1.55,110.33,Hilton Kuching
114,Victoria Point,AU,80.01,scattered clouds,-27.58,153.3,Bay Retreat Motel
115,Port Keats,AU,84.92,light rain,-14.25,129.55,TDC Village (Hundred Man Camp)
116,Bathsheba,BB,82.4,scattered clouds,13.22,-59.52,Atlantis Hotel
118,Puerto Ayacucho,VE,79.7,light rain,5.66,-67.62,Posada Turistica Manapiare
120,Soe,ID,80.65,broken clouds,-9.86,124.28,Dena Hotel
125,Nieuw Amsterdam,SR,79.0,few clouds,5.88,-55.08,Hotel Stardust
126,Sompeta,IN,79.11,heavy intensity rain,18.93,84.6,V.B.R A/C Lodge And Function Hall
134,Bandrele,YT,75.2,broken clouds,-12.91,45.19,Les Baobabs
137,Luanda,AO,75.2,scattered clouds,-8.84,13.23,EPIC SANA Luanda
139,Reyes,BO,82.26,broken clouds,-14.32,-67.38,
141,Samarai,PG,78.85,light rain,-10.62,150.67,Nuli Sapi
153,Hoi An,VN,77.0,few clouds,15.88,108.33,Belle Maison Hadana Hoi An managed by H&K Hospitality
155,Coahuayana,MX,80.6,broken clouds,18.73,-103.68,Hotel Los Arcos
156,Isangel,VU,76.28,clear sky,-19.55,169.27,Volcano Sea View Tree House
157,Haimen,CN,78.8,broken clouds,23.19,116.61,Jinghao Business Hotel
158,Alyangula,AU,84.2,scattered clouds,-13.85,136.42,Groote Eylandt Lodge
159,Ende,ID,82.81,overcast clouds,-8.84,121.66,Dwi Putra Hotel - Ende
164,Faanui,PF,78.35,broken clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
166,Meulaboh,ID,76.71,overcast clouds,4.14,96.13,Kost Pria
170,Veraval,IN,79.12,clear sky,20.9,70.37,Lords Inn Somnath
172,Touros,BR,77.0,few clouds,-5.2,-35.46,INN NEW HORIZON
178,Cabo San Lucas,MX,87.8,clear sky,22.89,-109.91,Hotel Tesoro Los Cabos
181,Adrar,MR,82.62,light rain,20.5,-10.07,
184,Kavieng,PG,83.5,moderate rain,-2.57,150.8,Nusa Island Retreat
185,Georgetown,MY,80.6,thunderstorm,5.41,100.34,Cititel Penang
190,Riyadh,SA,75.2,clear sky,24.69,46.72,InterContinental Riyadh
197,San Quintin,MX,82.63,broken clouds,30.48,-115.95,Old Mill Hotel
202,San Patricio,MX,87.8,few clouds,19.22,-104.7,Hotel Cabo Blanco
205,Lake Charles,US,80.6,clear sky,30.21,-93.2,La Quinta Inn & Suites by Wyndham Lake Charles Casino Area
206,Pajapan,MX,84.2,overcast clouds,18.25,-94.7,Hotel Del Carmen
208,San Cristobal,VE,84.2,scattered clouds,7.77,-72.22,Pirineos
