City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Hobart,AU,-42.88,147.33,45.0,81,75,11.41,broken clouds
1,Kapaa,US,22.08,-159.32,87.8,58,40,11.41,scattered clouds
2,Honiara,SB,-9.43,159.95,87.8,66,20,5.82,few clouds
3,Mataura,NZ,-46.19,168.86,69.01,51,32,18.01,scattered clouds
4,Mount Gambier,AU,-37.83,140.77,50.0,87,90,6.93,overcast clouds
5,Jamestown,US,42.1,-79.24,53.6,66,90,3.74,moderate rain
6,Kaitangata,NZ,-46.28,169.85,70.0,43,69,7.0,broken clouds
7,San Andres,CO,12.58,-81.7,84.2,79,75,4.7,broken clouds
8,Rikitea,PF,-23.12,-134.97,73.42,79,17,15.46,few clouds
9,Upernavik,GL,72.79,-56.15,24.58,87,85,4.09,overcast clouds
10,Moissala,TD,8.34,17.77,73.02,89,83,1.1,broken clouds
11,Hermanus,ZA,-34.42,19.23,57.0,91,0,4.83,clear sky
12,Yellowknife,CA,62.46,-114.35,46.4,87,90,17.22,light rain
13,Avarua,CK,-21.21,-159.78,75.2,73,99,9.17,overcast clouds
14,Basco,PH,20.45,121.97,81.64,77,81,22.55,broken clouds
15,Yinchuan,CN,38.47,106.27,44.6,45,6,5.88,clear sky
16,Grindavik,IS,63.84,-22.43,39.2,80,20,1.12,few clouds
17,Anzio,IT,41.49,12.62,66.0,79,87,3.0,overcast clouds
18,Victoria,HK,22.29,114.16,81.0,92,19,12.95,moderate rain
19,Anuradhapura,LK,8.36,80.42,75.96,85,67,9.15,broken clouds
20,Maarianhamina,AX,60.1,19.93,57.2,87,75,12.75,broken clouds
21,Airai,TL,-8.93,125.41,72.82,42,97,2.13,overcast clouds
22,Mizan Teferi,ET,6.98,35.58,61.3,86,85,3.36,overcast clouds
23,Tual,ID,-5.67,132.75,80.85,81,90,10.2,overcast clouds
24,Dalhousie,IN,32.53,75.98,56.16,38,0,7.23,clear sky
25,Saint George,US,37.1,-113.58,93.99,5,1,6.93,clear sky
26,Busselton,AU,-33.65,115.33,50.0,62,0,6.98,clear sky
27,Atuona,PF,-9.8,-139.03,77.81,77,45,14.81,scattered clouds
28,Las Vegas,US,36.17,-115.14,99.0,5,1,4.7,clear sky
29,Shache,CN,38.42,77.24,52.84,40,91,7.43,overcast clouds
30,Thompson,CA,55.74,-97.86,53.6,76,75,6.93,broken clouds
31,Ushuaia,AR,-54.8,-68.3,48.2,49,20,13.87,few clouds
32,Vardo,NO,70.37,31.11,47.03,81,0,13.82,clear sky
33,Rio Gallegos,AR,-51.62,-69.22,53.6,54,75,6.93,broken clouds
34,Poindimie,NC,-20.93,165.33,77.22,56,0,1.52,clear sky
35,Tezpur,IN,26.63,92.8,75.9,94,93,0.81,light rain
36,Khatanga,RU,71.97,102.5,25.36,98,100,18.3,light snow
37,Vanimo,PG,-2.67,141.3,85.62,66,93,5.75,overcast clouds
38,Maniwaki,CA,46.38,-75.97,45.7,94,99,3.74,moderate rain
39,Rawson,AR,-43.3,-65.1,52.48,49,42,28.36,scattered clouds
40,College,US,64.86,-147.8,57.2,37,40,2.57,scattered clouds
41,Ridgecrest,US,35.62,-117.67,100.0,8,0,14.45,clear sky
42,Ceica,RO,46.85,22.18,63.0,88,2,9.17,moderate rain
43,Albany,US,42.6,-73.97,53.01,78,70,1.92,broken clouds
44,Mahebourg,MU,-20.41,57.7,71.6,88,75,10.29,broken clouds
45,Hilo,US,19.73,-155.09,87.8,48,1,8.05,clear sky
46,Te Anau,NZ,-45.42,167.72,54.05,84,90,9.37,overcast clouds
47,Dakar,SN,14.69,-17.44,82.4,83,40,2.24,scattered clouds
48,Tuktoyaktuk,CA,69.45,-133.04,35.6,100,90,11.41,mist
49,Guerrero Negro,MX,27.98,-114.06,86.97,29,24,15.3,few clouds
50,Lazaro Cardenas,MX,17.96,-102.2,82.04,73,22,3.56,few clouds
51,Ponta Do Sol,PT,32.67,-17.1,71.6,73,75,12.75,broken clouds
52,Susurluk,TR,39.91,28.16,62.6,59,22,3.31,few clouds
53,Ukiah,US,39.15,-123.21,93.2,10,1,8.05,clear sky
54,Barrow,US,71.29,-156.79,35.6,80,90,5.82,overcast clouds
55,Brest,BY,52.1,23.7,56.64,83,0,5.99,clear sky
56,Mar Del Plata,AR,-38.0,-57.56,48.2,87,90,16.11,light rain
57,Ariquemes,BR,-9.91,-63.04,80.01,69,32,1.3,scattered clouds
58,Saldanha,ZA,-33.01,17.94,55.4,87,0,8.05,clear sky
59,Tasiilaq,GL,65.61,-37.64,26.82,80,82,2.48,broken clouds
60,Vaini,TO,-21.2,-175.2,73.4,94,75,12.75,broken clouds
61,Narsaq,GL,60.92,-46.05,35.6,64,4,3.36,clear sky
62,Srednekolymsk,RU,67.45,153.68,35.04,76,91,4.07,overcast clouds
63,Teguise,ES,29.06,-13.56,71.6,68,40,6.93,scattered clouds
64,Bethel,US,41.37,-73.41,55.4,66,1,3.04,clear sky
65,Abapo,BO,-18.83,-63.47,80.96,36,7,6.17,clear sky
66,Butaritari,KI,3.07,172.79,81.32,70,94,6.15,overcast clouds
67,Port Lincoln,AU,-34.73,135.87,54.68,70,12,17.85,few clouds
68,Bredasdorp,ZA,-34.53,20.04,57.2,93,0,2.24,clear sky
69,Torbay,CA,47.67,-52.73,48.0,87,75,2.24,broken clouds
70,Dillon,US,34.42,-79.37,61.0,93,75,4.05,broken clouds
71,Avera,US,33.19,-82.53,60.8,87,1,4.74,clear sky
72,Batie,BF,9.88,-2.92,73.6,92,95,3.67,overcast clouds
73,Thinadhoo,MV,0.53,72.93,82.53,74,89,10.29,light rain
74,Sonoita,MX,31.85,-112.83,105.01,7,0,9.75,clear sky
75,Haaren,NL,51.6,5.22,53.01,81,90,10.29,overcast clouds
76,Nanakuli,US,21.39,-158.15,89.6,46,1,9.17,clear sky
77,Sitka,US,57.05,-135.33,53.6,81,90,20.8,light rain
78,Constitucion,CL,-35.33,-72.42,50.9,66,0,12.37,clear sky
79,Buraydah,SA,26.33,43.98,74.82,20,1,6.51,clear sky
80,Berezovyy,RU,51.67,135.7,43.11,73,97,8.75,overcast clouds
81,Oranjemund,NA,-28.55,16.43,59.13,82,99,7.07,overcast clouds
82,Nouadhibou,MR,20.93,-17.03,77.0,69,0,18.34,clear sky
83,Kalga,RU,50.93,118.9,35.74,79,0,4.09,clear sky
84,Provideniya,RU,64.38,-173.3,37.4,59,75,13.42,broken clouds
85,Tabou,CI,4.42,-7.35,76.46,85,63,7.34,broken clouds
86,Cape Town,ZA,-33.93,18.42,57.0,93,0,4.7,clear sky
87,Cherskiy,RU,68.75,161.3,31.24,89,86,12.55,overcast clouds
88,Lebu,CL,-37.62,-73.65,47.61,88,0,11.74,clear sky
